STT,Course ID,Khóa học,Môn học,Chương,Folder,Lesson ID,Tên bài,Loại video,Video ID,Link video,Số tài liệu,Tài liệu (title:url),Ngày tạo,Ngày cập nhật
"1","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","KIẾN THỨC NỀN TẢNG TRỌNG TÂM","TƯ VẤN","","i4hLkB46Fziq7XC516VS","TƯ VẤN LỘ TRÌNH VÀ HƯỚNG DẪN CÁCH HỌC","hls","b2:2k9 EMPIRE/3/TU-VAN-LO-TRINH-VA-HUONG-DAN-CACH-HOC-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/3/TU-VAN-LO-TRINH-VA-HUONG-DAN-CACH-HOC-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","0","","2/6/2026","30/6/2026"
"2","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","lQU6QAVxL69xfJkyrG00","TỔNG ÔN GIỚI HẠN -ĐẠO HÀM - TIẾP TUYẾN","drive","https://drive.google.com/file/d/1atLlBMep3Q_GJrO2jyvVXn9Qx2odfsBZ/view?usp=drive_link","https://drive.google.com/file/d/1atLlBMep3Q_GJrO2jyvVXn9Qx2odfsBZ/view?usp=drive_link","1","TỔNG ÔN GIỚI HẠN -ĐẠO HÀM - TIẾP TUYẾN:https://drive.google.com/file/d/1KlQGgPzYEPSnKAbwN8H45NypLq4Ew_az/view?usp=drive_link","19/4/2026","12/5/2026"
"3","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","BỔ TRỢ","Toán học","","vH87OVx9MX9vI0N2jCRg","(3.6) Tam thức bậc 2 và xét dấu - video 2 bài vi-et","hls","b2:2k9 EMPIRE/5/-3.6-Tam-thuc-bac-2-va-xet-dau-video-2-bai-vi-et-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/5/-3.6-Tam-thuc-bac-2-va-xet-dau-video-2-bai-vi-et-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","tài liệu:https://drive.google.com/file/d/12WU2v3ItIYOGUAWVAgraWykcGidYRGXE/view?usp=drive_link","5/6/2026","26/6/2026"
"4","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","BỔ TRỢ","Toán học","","2ao3rzyQTgdHnNa8hwbH","(4.6) Tam thức bậc 2 và xét dấu - bổ trợ p1 xét dấu","hls","b2:2k9 EMPIRE/5/-4.6-Tam-thuc-bac-2-va-xet-dau-bo-tro-p1-xet-dau-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/5/-4.6-Tam-thuc-bac-2-va-xet-dau-bo-tro-p1-xet-dau-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","tài liệu:https://drive.google.com/file/d/10FGa5R_YXZGZ2vynkSGhXcW1ErpEGLbD/view?usp=drive_link","5/6/2026","26/6/2026"
"5","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","kRonATMr7tnhAIBMPz2f","TỔNG ÔN HHKG BUỔI 1","drive","https://drive.google.com/file/d/1Poa700GLpEiDv50HrJEgxelylBVHbuHD/view?usp=drive_link","https://drive.google.com/file/d/1Poa700GLpEiDv50HrJEgxelylBVHbuHD/view?usp=drive_link","1","TỔNG ÔN HHKG BUỔI 1:https://drive.google.com/file/d/1JMP0xEjuw5AuEG1Zj6E8LuO9CZ5QO55b/view?usp=sharing","19/4/2026","12/5/2026"
"6","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","BỔ TRỢ","Toán học","","7qgcr0WzV5NBMcMuCEQm","(5.6) Tam thức bậc 2 và xét dấu - bổ trợ p2 tham số m và vi-et","hls","b2:2k9 EMPIRE/5/-5.6-Tam-thuc-bac-2-va-xet-dau-bo-tro-p2-tham-so-m-va-vi-et-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/5/-5.6-Tam-thuc-bac-2-va-xet-dau-bo-tro-p2-tham-so-m-va-vi-et-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","tài liệu:https://drive.google.com/file/d/1tk3pgjqQ6tJV6MX3agoA4Cqnuju7tqZ_/view?usp=drive_link","5/6/2026","26/6/2026"
"7","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","liySoOQRdd1rDZCNiOtb","TỔNG ÔN HHKG BUỔI 2","drive","https://drive.google.com/file/d/1PN9m34pTqwGN6kNw8o63UgttHmxHKJMR/view?usp=drive_link","https://drive.google.com/file/d/1PN9m34pTqwGN6kNw8o63UgttHmxHKJMR/view?usp=drive_link","1","TỔNG ÔN HHKG BUỔI 2:https://drive.google.com/file/d/1DpW-zPtnau1a1HP_VYY0Q4mG0CHWugf8/view?usp=sharing","19/4/2026","12/5/2026"
"8","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","KVns8Dk20m0pw2VjSB40","TỔNG ÔN XSTK","drive","https://drive.google.com/file/d/1gkR9Cu6HSdVbDSuHgO7LmOUG8IXiPGpn/view?usp=drive_link","https://drive.google.com/file/d/1gkR9Cu6HSdVbDSuHgO7LmOUG8IXiPGpn/view?usp=drive_link","1","TỔNG ÔN XSTK:https://drive.google.com/file/d/1KPMFjQGyCN6C6o0rd6lcu8f34ulJQdih/view?usp=sharing","19/4/2026","12/5/2026"
"9","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","BỔ TRỢ","Toán học","","iCUHEAQCtLx3UWC9jfA3","(6.6) Tam thức bậc 2 và xét dấu - đề luyện tập số 1","hls","b2:2k9 EMPIRE/5/-6.6-Tam-thuc-bac-2-va-xet-dau-de-luyen-tap-so-1-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/5/-6.6-Tam-thuc-bac-2-va-xet-dau-de-luyen-tap-so-1-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","BVT-chữa:https://drive.google.com/file/d/1vUTd2lEph1KhUh6-QKq0-N6WJRiekTpA/view?usp=drive_link","7/6/2026","26/6/2026"
"10","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","3cuqaETZZKZv3MlE9Esv","TỔNG ÔN MŨ-LOGARIT","drive","https://drive.google.com/file/d/1WhDfmgSxsBfWtSVAOiQ5-6kOn6LtnT8C/view?usp=drive_link","https://drive.google.com/file/d/1WhDfmgSxsBfWtSVAOiQ5-6kOn6LtnT8C/view?usp=drive_link","1","TỔNG ÔN MŨ-LOGARIT:https://drive.google.com/file/d/1n-hCBjXl_HjI2f38S30eJvZyQzxwfOAD/view?usp=sharing","19/4/2026","12/5/2026"
