Course ID,Tên khóa,Môn,Chương,Folder,Tên bài,Loại video,Video ID,Link tải,Thời lượng,Tài liệu,Ngày cập nhật
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 1,youtube,https://www.youtube.com/watch?v=uFOprLDMT50,,,TÀI LIỆU:https://drive.google.com/file/d/1eCSRmeS0T95XsEqJQazHjsHbYIvwgeRP/view?usp=sharing,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 2,youtube,https://youtu.be/m_ziPRjg4nI,,,TÀI LIỆU:https://drive.google.com/file/d/1pW4EQr-xqGqX59gdrn7UtIHdm_soEtwG/view,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 3,youtube,https://youtu.be/ArCDKCY6qhs,,,TÀI LIỆU:https://drive.google.com/file/d/10K5lxMSjgTZ31eLrHSYdUlSKYquv29jB/view,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 4 P1,youtube,https://youtu.be/dx8PRybt5PM,,,TÀI LIỆU:https://drive.google.com/file/d/1Pv4ZqAlQ_MtWE9551Ny0V0YUG4RJ3lS0/view,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 4 P2,youtube,https://youtu.be/S1xtWw_Ja6Y,,,TÀI LIỆU:https://drive.google.com/file/d/1Pv4ZqAlQ_MtWE9551Ny0V0YUG4RJ3lS0/view,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 5 P1,youtube,https://youtu.be/Dht1FaoHIjk,,,TÀI LIỆU:https://drive.google.com/file/d/1DCilPZS2VA2T2V2xpHl5ayIuKzQ0Q993/view?usp=sharing,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU,HỌC LẠI TỪ ĐẦU BUỔI 5 P2,youtube,https://youtu.be/Xv2Q9ddbtdY,,,TÀI LIỆU:https://drive.google.com/file/d/1DCilPZS2VA2T2V2xpHl5ayIuKzQ0Q993/view?usp=sharing,6/4/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,CHƯƠNG 1 - ESTER,CHƯƠNG 1 - ESTER,TÀI LIỆU TỔNG HỢP CHƯƠNG I,drive,,,,TÀI LIỆU TỔNG HỢP CHƯƠNG I:https://www.google.com/url?q=https://drive.google.com/drive/folders/1mThyfHiaOFuDIvd_ldHTRdwtnx8z3pyb&sa=D&source=editors&ust=1782125464559208&usg=AOvVaw1pQfHBJEYRaZ3Azwh6GD-6,6/3/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,CHƯƠNG 1 - ESTER,CHƯƠNG 1 - ESTER,Bài giảng 1: Lý thuyết ESTER,youtube,https://youtu.be/c7RgGt-cBQg,,,FILE VIẾT TAY:https://drive.google.com/file/d/1Kr3WzSTgOgKtbvHr0HLYeRd24ovZU97p/view?usp=sharing,6/3/2026
xps-hoa-12,2009: KHÓA HỌC KHÓA T: NỀN TẢNG - THẦY PHẠM VĂN TRỌNG,Hóa,CHƯƠNG 1 - ESTER,CHƯƠNG 1 - ESTER,Bài giảng 2: 100 Câu hỏi chuyên biệt về ESTER,youtube,https://youtu.be/2GxoqovbIuI,,,FILE VIẾT TAY:https://drive.google.com/file/d/1W3CjYMkK4O0oUU8oIiYjrn9LTaT7GkG4/view?usp=sharing|Đề:https://drive.google.com/file/d/1MBQbKBcaKuo_ReN8EnzAQ0O13nFVGGzm/view,6/3/2026
